economy,Country,YR1960,YR1961,YR1962,YR1963,YR1964,YR1965,YR1966,YR1967,YR1968,YR1969,YR1970,YR1971,YR1972,YR1973,YR1974,YR1975,YR1976,YR1977,YR1978,YR1979,YR1980,YR1981,YR1982,YR1983,YR1984,YR1985,YR1986,YR1987,YR1988,YR1989,YR1990,YR1991,YR1992,YR1993,YR1994,YR1995,YR1996,YR1997,YR1998,YR1999,YR2000,YR2001,YR2002,YR2003,YR2004,YR2005,YR2006,YR2007,YR2008,YR2009,YR2010,YR2011,YR2012,YR2013,YR2014,YR2015,YR2016,YR2017,YR2018,YR2019,YR2020,YR2021,YR2022,YR2023,YR2024,YR2025
JPN,Japan,,12.043536357022,8.90897303614973,8.47364243635415,11.676708250654,5.81970783966972,10.6385615902031,11.0821423327248,12.8824681707163,12.4778945420024,0.399050611065093,4.69899204214205,8.41354725497627,8.03259997458245,-1.22523982750916,3.09157591623077,3.97498409113672,4.39033795009327,5.27194150317187,5.4840418324284,2.81759120738283,4.20933646523171,3.31245673740017,3.52304498510377,4.50199481622435,5.23338094687848,3.32652561623384,4.73066586040017,6.78502010955764,4.85803768615389,4.89271306574565,3.41749676183089,0.848069581218368,-0.517919847117952,0.99306636322622,2.34205546196849,3.07546731409349,1.36297109407448,-1.77264091037956,-0.347600398675738,2.97832688768516,0.284608556379041,0.0849888050363319,1.38010935830795,2.11294823723127,1.8482813374834,1.54630843078741,1.72837912865577,-1.16662209355141,-5.9359411383964,4.13645589222239,-0.20035785332982,1.64893452981225,1.99727653399265,0.905915486065865,1.79997735783475,0.704986495111257,1.62345062245441,0.834143845965585,-0.308496921143259,-4.28327942675573,3.56419531474475,1.33164750653741,0.720785304749811,-0.240084236041696,1.19311288444599
GRC,Greece,,13.2038386052462,0.364812289877747,11.8448666655957,9.40967732368279,10.7680109720411,6.49450138060494,5.66948643356486,7.20371768036424,11.5636684082563,8.93058020025967,7.84117657760304,10.1601515908652,8.09237907118801,-6.43824057014004,6.36680794602181,6.85189869571943,2.94100090620763,7.24686397906468,3.28207958853159,0.67713140669585,-1.55372126905196,-1.13264739051145,-1.07862273931177,2.01058093704644,2.50955640237393,0.517660006338886,-2.25886322369171,4.28786172851761,3.79999995287797,0.0,3.09999970633838,0.700000337119789,-1.60000002186294,1.99999984724822,2.09971953235275,1.38247057325857,3.60288326516122,3.43693579661333,2.65878562321184,4.13782699405849,4.65041459442163,4.68313727063017,5.79682274294369,5.37786634595851,1.18350635493289,6.44339762487436,3.50686976639459,0.0574740238200775,-4.11927606715011,-5.6937412158003,-9.87677875300243,-8.33113421099992,-2.27211699888024,0.792225060962835,-0.228301892172851,-0.0317947678412054,1.47312472702352,2.06467207892409,2.27718065334808,-9.19623149726978,8.65449786002131,5.52198580589408,2.13591131996631,2.0865743380603,2.07306882481713
GBR,United Kingdom,,2.70131421328257,1.0986962362898,4.85954520244742,5.59481105874345,2.13033308666921,1.56744960482462,2.77573771112216,5.47269310050385,1.93913775370176,2.70858148856038,2.00453760135888,3.62637105743457,7.31352424220155,-1.67969792645223,-0.676870194049812,2.80465599545295,2.36335094409922,3.40337382855367,2.74677219709527,-2.17910220206564,-1.3234581733779,2.09306886432368,3.62434641923983,2.67092491032817,3.59938143817158,4.01232987098167,4.56208082572655,5.0321018040183,2.28144671930745,0.779266119883417,-1.29243974751705,1.29472849604493,3.49048744653493,4.95341092800692,3.53339096338078,2.61491606949487,4.8799853038024,3.24631482881618,2.94445869854798,4.52438074810904,2.39102229602824,1.70902736258567,3.21851612669614,2.32601853325993,2.7906547174688,2.18982132415704,2.93091133582351,-0.0494116727402769,-4.58740819226323,2.26054460931586,0.851437739020326,1.52826034721852,1.71846961308464,3.16017351468152,2.14040560033371,2.20652020635357,3.02322219840339,1.55133095078786,1.25629899760824,-10.047896637362,8.5431118453255,5.14970388522993,0.271650048355255,1.08027716858781,1.38844207858726
ARG,Argentina,,5.42784287621933,-0.852021521903339,-5.30819682539126,10.1302976615431,10.5694333376394,-0.659726170629824,3.19199662339177,4.82250077932424,9.67952601078326,3.04564331917115,5.65813108184925,1.62841651825939,2.81175403849035,5.5338043957736,-0.0284121037110907,-2.01825151683394,6.93414775653342,-4.50612480201359,10.2227634638681,1.51878394990179,-5.18978914135593,-0.735659159103619,4.34909327926756,1.57073870182023,-5.18902435343904,6.15337706275693,2.70486882770558,-1.08993334133791,-7.15694965597953,-2.46721377810472,9.13311056738961,7.93729155643076,8.20697907221228,5.83620070368526,-2.84520961057079,5.52668982715234,8.1110467707457,3.85017885156228,-3.38545704063269,-0.78899893905691,-4.40883968258557,-10.8944848285903,8.83704079576924,9.02957330068152,8.85165992013437,8.04715150043027,9.00765087504757,4.05723310346406,-5.91852507634947,10.1253981561002,6.00395169280579,-1.0264204544321,2.40532378079436,-2.51261532081394,2.73115982828944,-2.08032784377811,2.81850297775918,-2.61739646282038,-2.00086100285785,-9.9004848136464,10.4418119882506,6.02074537534855,-1.85578803046339,-1.34293072157739,4.36733330217022
USA,United States,,2.29999999989235,6.100000008077,4.40000000466181,5.8000000040378,6.40000000107759,6.50000000865072,2.49999999306594,4.80000000278329,3.09999999656958,0.216606498143278,3.29272243899894,5.25550197771585,5.64567975951033,-0.540550190362552,-0.205619191208058,5.38803390614694,4.62418650079432,5.53520648057204,3.16598822512103,-0.256775739391401,2.53770127042986,-1.80301377321203,4.58379096944093,7.2364531665454,4.16957535422245,3.46265504522061,3.45462966441372,4.17698239478443,3.67223784138015,1.88596557755378,-0.108312873733027,3.52249717254271,2.75179586314481,4.02902272637739,2.68443073970295,3.77277269047364,4.44712793442667,4.48313335499124,4.78842504836746,4.07758575997799,0.955538337599847,1.70044733078285,2.79560596378604,3.84777169267127,3.48354993710312,2.78453963674239,2.0038583039496,0.113587247501258,-2.5765002366652,2.69519258673525,1.56440685205419,2.28911339009767,2.11783009443471,2.52381981757846,2.94555045227337,1.81945147909089,2.45762230126449,2.96650506701943,2.58382533052225,-2.081375977796,6.15202247867526,2.52421385073222,2.93436322440155,2.79318715363841,2.16138195623856
