time,magnitude,latitude,longitude,depth_km
2000-07-24T09:03:54.710Z,5.1,34.119,139.327,10.0
2000-07-24T22:10:35.340Z,5.0,24.771,122.478,127.7
2000-07-25T07:12:50.480Z,5.1,34.218,139.277,10.0
2000-07-25T08:10:15.890Z,5.0,34.182,139.338,10.0
2000-07-25T18:36:44.680Z,5.2,34.088,139.31,10.0
2000-07-26T10:09:50.290Z,5.2,34.116,139.187,10.0
2000-07-27T01:49:53.330Z,5.6,34.208,139.37,10.0
2000-07-27T02:12:50.080Z,5.5,34.204,139.248,10.0
2000-07-28T13:05:58.740Z,5.2,34.183,139.446,10.0
2000-07-28T13:32:43.230Z,5.4,34.104,139.25,10.0
2000-07-30T00:18:00.190Z,5.7,33.933,139.35,10.0
2000-07-30T12:25:45.570Z,6.5,33.901,139.376,10.0
2000-07-30T12:48:55.480Z,5.5,33.954,139.27,10.0
2000-07-30T13:16:08.540Z,5.0,34.119,139.247,10.0
2000-07-31T04:37:06.650Z,5.4,39.576,143.582,33.0
2000-08-02T10:23:46.280Z,5.3,34.188,139.167,10.0
2000-08-02T21:42:27.790Z,5.3,34.15,139.221,10.0
2000-08-03T05:30:12.260Z,5.6,31.078,131.308,35.0
2000-08-03T07:55:20.370Z,5.3,34.151,139.223,10.0
2000-08-03T11:27:04.140Z,5.1,34.1,139.152,10.0
2000-08-03T12:13:10.760Z,5.4,34.171,139.155,10.0
2000-08-03T13:18:09.000Z,5.3,34.172,139.14,10.0
2000-08-03T19:23:38.860Z,5.1,34.123,139.095,10.0
2000-08-06T07:27:12.900Z,7.4,28.856,139.556,394.8
2000-08-07T05:23:40.090Z,5.7,29.025,131.207,33.0
2000-08-15T15:02:58.970Z,5.2,34.175,139.124,10.0
2000-08-15T15:55:26.530Z,5.3,34.106,139.193,10.0
2000-08-15T17:22:28.240Z,5.3,34.199,139.167,10.0
2000-08-15T17:37:12.090Z,5.2,34.113,139.195,10.0
2000-08-15T18:19:00.640Z,5.3,34.157,139.209,10.0
2000-08-15T20:20:43.840Z,5.8,43.046,146.759,33.0
2000-08-16T02:00:43.070Z,5.1,34.117,139.228,10.0
2000-08-18T01:52:20.870Z,5.7,34.127,139.18,10.0
2000-08-18T02:08:40.810Z,5.0,34.232,139.129,10.0
2000-08-19T12:41:28.030Z,5.5,36.244,141.42,33.0
2000-08-19T17:26:27.940Z,5.7,43.816,147.167,62.4
2000-08-23T14:57:11.630Z,5.4,34.068,139.445,10.0
2000-08-24T02:25:02.630Z,5.0,31.148,139.806,10.0
2000-08-26T15:30:49.560Z,5.0,42.234,142.494,33.0
2000-08-27T00:45:05.950Z,5.0,33.899,139.408,10.0
